evolyutsion эволюцион
	egotsentrizm эгоцентризм
	ekspeditsion экспедицион
	ekspeditsiyachi экспедициячи
	ekspluatatsiyachi эксплуатациячи
	emotsional эмоционал
	emotsionallik эмоционаллик
	empiriokrititsizm эмпириокритицизм
	ensefalit энцефалит
	ensefalogramma энцефалограмма
	ensiklopedik энциклопедик
	ensiklopedist энциклопедист
	ensiklopediya энциклопедия
	ensiklopediyachi энциклопедиячи
	epitsentr эпицентр
    eritrotsit эритроцит
	eritrotsitlar эритроцитлар
	eritrotsitoliz эритроцитолиз
	eritrotsitopatiya эритроцитопатия
	esminets эсминец
	emulsiya эмульсия
    eskadrilya эскадрилья
	emal эмаль    
    endshpil эндшпиль
