farmatsevtika фармацевтика
	film-konsert фильм-концерт
	fitonsid фитонцид
	fraksiooner фракциоонер
	fransuz француз
	fransuzlar французлар
	fransuzcha французча
	frits фриц
	funksional функционал
	furatsilin фурацилин
	fevral февраль
    feldㄹeger фельдъегерь    
    festival фестиваль  
    fonar фонарь
	fakult факульт
	falsifik фальсифик
	fotoalbom "фотоальбом
	fakultativ факультатив
    fakultet факультет
    fakultetlalaro факультетлаларо
    falsifikator фальсификатор
    falsifikatsiya фальсификация
    feldmarshal фельдмаршал
    feldsher фельдшер
    feleton фельетон
    feletonchi фельетончи
    fizkultura физкультура
    fizkulturachi физкультурачи
    film фильм
    film-konsert фильм-концерт
    filmoskop фильмоскоп
    filmoteka фильмотека
    filtr фильтр
    filtratsiya фильтрация
    filtrlamoq фильтрламоқ
    filtrli фильтрли
    folga фольга
    folklor фольклор
    folklorist фольклорист
    folkloristika фольклористика
    folklorchi фольклорчи
    folklorshunos фольклоршунос
    folklorshunoslik фольклоршунослик
    fortepyano фортепьяно
