gavan гавань    
    gantel гантель
    garmon гармонь
    gastrol гастроль    
    gorizontal горизонталь
    gospital госпиталь
    grifel грифель
    guash гуашь
    galvan гальван
    galvanizatsiya гальванизаци€
    galvanik гальваник
    galvanometr гальванометр
    gastrol-konsert гастроль-концерт
    gelmint гельминт
    gelmintoz гельминтоз
    gelmintologiya гельминтологи€
    geraldika геральдика
    gilza гильза
    giposulfit гипосульфит
    golf гольф
    golfchi гольфчи
    gorelef горельеф
    gallitsizm галлицизм
	gastrol-konsert гастроль-концерт
	gaubitsa гаубица
	geliotsentrik гелиоцентрик
	genotsid геноцид
	geotsentrik геоцентрик
	gerbitsidlar гербицидлар
	gers герц
	gersog герцог
	giatsint гиацинт
	gipotsentr гипоцентр
	glitserin глицерин
	glyatsiolog гл€циолог
	glyatsiologiya гл€циологи€
	gorchitsa горчица
	gusenitsa гусеница
