izolyatsion изоляцион
	izolyatsiyalamoq изоляцияламоқ
	inersiyali инерцияли
	inssenirovka инсценировка
	intervensiyachi интервенциячи
	internatsional интернационал
	internatsionalizm интернационализм
	internatsionalist интернационалист
	intonatsion интонацион
	informatsion информацион
	irratsional иррационал
	irrigatsion ирригацион
	ich-et ич-эт
	ishoq исҳоқ
	iye ийе
	inventar инвентарь    
    iyul июль
    iyun июнь
	impuls импульс
    insult инсульт
    intervyu интервью
    interer интерьер
    italyan итальян
    italyanlar итальянлар
    italyancha итальянча
