konsentr концентр
konferens конференц
    konfutsiy конфуций
    kompanyon компаньон
    kalsiy кальций
	kanseliyariya канцелиярия
	kanserogen канцероген
	kansler канцлер
	katolsizm католцизм
	kvars кварц
	kvarsit кварцит
	kinokonsert киноконцерт
	kinossenariy киносценарий
	klassitsizm классицизм
	koalitsion коалицион
	kolleksioner коллекционер
	kolleksiyachchi коллекцияччи
	kolonsifra колонцифра
	kompozitsion композицион
	konditsioner кондиционер
	konsorsium консорциум
	konstitutsion конституцион
	konstitutsiyaviy конституциявий
	kontrrevolyutsion контрреволюцион
	kontrrevolyutsioner контрреволюционер
	konferens-zal конференц-зал
	konfutsiylik конфуцийлик
	konfutsiychilik конфуцийчилик
	konsentrat концентрат
	konsentratli концентратли
	konsentratsion концентрацион
	konsentratsiyalashmoq концентрациялашмоқ
	konsentrik концентрик
	konsern концерн
	konsert концерт
	konsertmeyster концертмейстер
	konsessiya концессия
	konslager концлагерь
	koordinatsion координацион
	koeffitsiyent коэффициент
	kulminatsion кульминацион
	karate каратэ
	kalendar календарь
	konveyer конвейер
	kabel кабель
    kalendar календарь    
    kanifol канифоль    
    kapsyul капсюль
    karamel карамель
    kartel картель
    kartech картечь
    karusel карусель    
    kastryul кастрюль    
    kafel кафель 
    kisel кисель
    kitel китель
    knyaz князь    
    kokil кокиль
    kokteyl коктейль    
    kontrol контроль    
    konslager концлагерь
    kon конь
    korol король
    kreml кремль
    krovat кровать
	karyer карьер
    kuryer курьер
	konyunktura коньюнктура
    konyuktivit коньюктивит
	kulmina кульмина
    kultiva культива
	konsulta консульта
	kalkulya калькуля
	konferansye конферансье
	kalka калька
    kalkalamoq калькаламоқ
    kalkulyator калькулятор
    kalkulyatsiya калькуляция
    kalsiy кальций
    kapelmeyster капельмейстер
    karer карьер
    karyera карьера
    kastryulka кастрюлька
    katapulta катапульта
    kinofestival кинофестиваль
    kinofilm кинофильм
    kobalt кобальт
    kompyuter компьютер
    kompyuterlashtirmoq компьютерлаштирмоқ
    konsultant консультант
    konsultativ консультатив
    konsultatsiya консультация
    konferanse конферансье
    konki коньки
    konkichi конькичи
    konyunktiva коньюнктива
    konyunktivit коньюнктивит
    konyunktura коньюнктура
    konyak коньяк
    kulminatsion кульминацион
    kulminatsiya кульминация
    kultivator культиватор
    kultivatsiya культивация
    kultivatlash культиватлаш
    kulturizm культуризм
    kurer курьер
    kyat кьят
