pestitsid пестицид
penitsillin пенициллин
parasetamol парацетамол
	patsiyent пациент
	patsifizm пацифизм
	patsifist пацифист
	penitssilin пениццилин
	pestitsidlar пестицидлар
	petlitsa петлица
	pinset пинцет
	pitssa пицца
	platsdarm плацдарм
	platskart плацкарт
	platskarta плацкарта
	platskartali плацкартали
	plebissit плебисцит
	pozitsion позицион
	politsiyachi полициячи
	politsmeyster полицмейстер
	potensial потенциал
	prinsip принцип
	prinsipial принципиал
	prinsipiallik принципиаллик
	prinsipli принципли
	prinsipsiz принципсиз
	pritsep прицеп
	provinsializm провинциализм
	provinsiya провинция
	proyeksiyalamoq проекцияламоқ
	proporsional пропорционал
	proporsionallik пропорционаллик
	proteksionizm протекционизм
	protsent процент
	protsentli процентли
	protsentchi процентчи
	protsess процесс
	protsessor процессор
	protsessual процессуал
	publitsist публицист
	publitsistik публицистик
	publitsistika публицистика
	punktuatsion пунктуацион
	press-papye пресс-папье
	poyustun пойустун
    poyabzal пойабзал
    poyandoz пойандоз
    poyafzal пойафзал
	pleyer плейер
	panel панель
    parallel параллель
    parol пароль
    patrul патруль
    pedal педаль    
    pechat печать
    pech печь  
    plastir пластирь
    povest повесть
    portfel портфель
    porshen поршень    
    predoxranitel предохранитель    
    press-sekretar пресс-секретарь
    pristan пристань
    profil профиль
	pyesa пьеса
	partyer партьер
    premyer премьер
	pavilyon павильон
	pechenye печенье
	pochtalyon почтальон
    pulmonolog пульмонолог
	pavilon павильон
    palma пальма
    palmazor пальмазор
    palpatsiya пальпация
    palto пальто
    paltobop пальтобоп
    paltolik пальтолик
    penalti пенальти
    pechene печенье
    polka полька
    pochtalon почтальон
    premera премьера
    premer-ministr премьер-министр
    press-pape пресс-папье
    pulverizator пульверизатор
    pulmonologiya пульмонология
    pulpa пульпа
    pulpit пульпит
    puls пульс
    pult пульт
    pesa пьеса
