sirka сирка
slanes сланец
shpris шприц
sanatsiyalash санациялаш
	seleksiyachi селекциячи
	seleksiyachilik селекциячилик
	silitsiy силиций
	skeptitsizm скептицизм
	slanets сланец
	sotsial социал
	sotsial-demokrat социал-демократ
	sotsial-demokratik социал-демократик
	sotsial-demokratiya социал-демократия
	sotsializm социализм
	sotsialist социалист
	sotsialistik социалистик
	sotsiolingvistika социолингвистика
	sotsiolog социолог
	sotsiologik социологик
	sotsiologiya социология
	spetsifik специфик
	spetsifika специфика
	statsionar стационар
	stoitsizm стоицизм
	stronsiy стронций
	ssenariy сценарий
	ssenariychi сценарийчи
	ssenarist сценарист
	sanga цанга
	sapfa цапфа
	sedra цедра
	seziy цезий
	seytnot цейтнот
	sellofan целлофан
	selluloid целлулоид
	sellyuloza целлюлоза
	selsiy цельсий
	sement цемент
	sementlamoq цементламоқ
	senz ценз
	senzor цензор
	senzura цензура
	sent цент
	sentner центнер
	sentnerli центнерли
	sentnerchi центнерчи
	sentralizm централизм
	sentrizm центризм
	sentrist центрист
	sentrifuga центрифуга
	seriy церий
	sesarka цесарка
	sex цех
	sian циан
	sianli цианли
	sivilizatsiya цивилизация
	sigara цигара
	sikl цикл
	siklik циклик
	sikllashtirmoq цикллаштирмоқ
	siklli циклли
	siklon циклон
	siklotron циклотрон
	silindr цилиндр
	silindrik цилиндрик
	silindrli цилиндрли
	sink цинк
	sinkograf цинкограф
	sinkografiya цинкография
	sirk цирк
	sirkoniy цирконий
	sirkul циркуль
	sirkulyar циркуляр
	sirkchi циркчи
	sirroz цирроз
	sisterna цистерна
	sisternali цистернали
	sistit цистит
	sitata цитата
	sitatabozlik цитатабозлик
	sito- цито-
	sitodiagnostika цитодиагностика
	sitokimyo цитокимё
	sitoliz цитолиз
	sitologiya цитология
	sitrus цитрус
	siferblat циферблат
	siferblatli циферблатли
	sokol цоколь
	sunami цунами
	shveysar швейцар
	shmutstitul шмуцтитул
	shnitsel шницель
	shprits шприц
	shtangensirkul штангенциркуль
    shveytsariya швейцария
    sitsiliya сицилия
    syerra-leone сьерра-леоне
	sahobayi саҳобаи
	sutemizuvchilar сутэмизувчилар
	singa цинга
	stayer стайер
	sirkul циркуль
    shtepsel штепсель
	sekretar секретарь    
    seld сельдь
    siren сирень
    skalpel скальпель
    slesar слесарь
    sobol соболь
    spektakl спектакль
    spiral спираль  
    sterjen стержень
    stil стиль
	sirkul циркуль
    sokol цоколь
	shagren шагрень
    shampun шампунь
    sherst шерсть
    shinel шинель
	shnitsel шницель
    shpatel шпатель    
    shpindel шпиндель
    shtangensirkul штангенциркуль
    shtapel штапель
    shtempel штемпель
	syezd съезд
	subyekt субъект
	senyor сеньор
	sutemizuvchi сутэмизувчи
    sentabr сентябрь
	saldo сальдо
    salto сальто
    selderey сельдерей
    senor сеньор
    senora сеньора
    sinka синька
    sinkalamoq синькаламоқ
    statya статья
    stelka стелька
    sudya судья
    sudyalik судьялик
    sulfat сульфат
    sulfatlar сульфатлар
    subyektiv субъектив
	selsiy цельсий
    shifoner шифоньер
    shpilka шпилька
