vaksina вакцина
	vegetatsion вегетацион
	ventilyatsion вентиляцион
	vitse- вице-
	vitse-admiral вице-адмирал
	vitse-prezident вице-президент
	vimpel вимпель
	verf верфь
	vestibyul вестибюль
	vanil ваниль    
    vedomost ведомость
    veksel вексель
    ventil вентиль
    vermishel вермишель    
    violonchel виолончель
    vklyuchatel включатель
    vodevil водевиль
    volost волость    
    viklyuchatel виключатель
	vernyer  верньер
	valeryanka валерьянка
    valvatsiya вальвация
    vals вальс
    varete варьете
    verner верньер
    videofilm видеофильм
    vinetka виньетка
    volt вольт
    volta вольта
    voltli вольтли
    voltmetr вольтметр
    volfram вольфрам
    vulgar вульгар
    vulgarizm вульгаризм
    vulgarlashtirmoq вульгарлаштирмоқ
